panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,recomputed_meV,plotted_recomputed_meV,published_meV,difference_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV,reference_status
c,GW100,3.0,HOMO,5,7,100/100,5.6,5.6,5.6,6.30606677987e-14,20.2,124,88_C6F6,-124,TensorGW reference output
c,GW100,3.0,HOMO,5,8,100/100,4.93,4.93,4.93,-8.97060203897e-14,13.05,122,88_C6F6,-122,TensorGW reference output
c,GW100,3.0,HOMO,5,9,100/100,4.45,4.45,4.45,-4.17443857259e-14,12,122,88_C6F6,-122,TensorGW reference output
d,GW100,3.0,LUMO,2,10,100/100,13.7,13.7,13.7,5.3290705182e-15,43.65,76,11_K2,76,TensorGW reference output
d,GW100,3.0,LUMO,2,2,100/100,253.04,253.04,253.04,0,824.55,2977,16_F2,2977,TensorGW reference output
d,GW100,3.0,LUMO,2,3,100/100,107.07,107.07,107.07,0,422.2,1409,16_F2,1409,TensorGW reference output
d,GW100,3.0,LUMO,2,4,100/100,37.31,37.31,37.31,2.84217094304e-14,111.2,376,84_BeO,376,TensorGW reference output
d,GW100,3.0,LUMO,2,5,100/100,18.04,18.04,18.04,2.48689957516e-14,61.05,150,16_F2,150,TensorGW reference output
d,GW100,3.0,LUMO,2,6,100/100,14.06,14.06,14.06,2.48689957516e-14,49.5,74,56_TiF4,74,TensorGW reference output
d,GW100,3.0,LUMO,2,7,100/100,13.56,13.56,13.56,3.5527136788e-15,42.85,72,56_TiF4,72,TensorGW reference output
d,GW100,3.0,LUMO,2,8,100/100,13.2,13.2,13.2,1.59872115546e-14,41.75,73,11_K2,73,TensorGW reference output
d,GW100,3.0,LUMO,2,9,100/100,13.6,13.6,13.6,5.3290705182e-15,40.8,74,11_K2,74,TensorGW reference output
d,GW100,3.0,LUMO,3,10,100/100,4.65,4.65,4.65,1.06581410364e-14,15.05,64,84_BeO,64,TensorGW reference output
d,GW100,3.0,LUMO,3,2,100/100,238.65,238.65,238.65,2.84217094304e-14,793.95,2909,16_F2,2909,TensorGW reference output
d,GW100,3.0,LUMO,3,3,100/100,99.5,99.5,99.5,1.42108547152e-14,379.75,1349,16_F2,1349,TensorGW reference output
d,GW100,3.0,LUMO,3,4,100/100,31.1,31.1,31.1,7.1054273576e-15,114.45,376,84_BeO,376,TensorGW reference output
d,GW100,3.0,LUMO,3,5,100/100,10.39,10.39,10.39,1.7763568394e-14,31.15,139,16_F2,139,TensorGW reference output
d,GW100,3.0,LUMO,3,6,100/100,4.83,4.83,4.83,4.4408920985e-15,16.1,24,98_Ag2,24,TensorGW reference output
d,GW100,3.0,LUMO,3,7,100/100,4.09,4.09,4.09,1.42108547152e-14,14.05,21,88_C6F6,21,TensorGW reference output
d,GW100,3.0,LUMO,3,8,100/100,3.79,3.79,3.79,1.90958360236e-14,12.1,19,88_C6F6,19,TensorGW reference output
d,GW100,3.0,LUMO,3,9,100/100,3.91,3.91,3.91,1.59872115546e-14,15,19,84_BeO,19,TensorGW reference output
d,GW100,3.0,LUMO,4,10,100/100,3.61,3.61,3.61,0,12.1,89,84_BeO,89,TensorGW reference output
d,GW100,3.0,LUMO,4,2,100/100,235.9,235.9,235.9,2.84217094304e-14,787.9,2897,16_F2,2897,TensorGW reference output
d,GW100,3.0,LUMO,4,3,100/100,97.64,97.64,97.64,1.42108547152e-14,375.6,1336,16_F2,1336,TensorGW reference output
