panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,raw_error_meV,error_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV
f,GW100,5,LUMO,4,7,100/100,2.36,2.36,9,16,12_Rb2,-16
f,GW100,5,LUMO,4,8,100/100,2.46,2.46,11,31,85_MgO,-31
f,GW100,5,LUMO,4,9,100/100,2.38,2.38,11.1,17,84_BeO,17
f,GW100,5,LUMO,4,10,100/100,3.45,3.45,14,89,84_BeO,89
f,GW100,5,LUMO,5,2,100/100,224.06,224.06,792.55,2895,16_F2,2895
f,GW100,5,LUMO,5,3,100/100,95.14,95.14,296.9,1333,16_F2,1333
f,GW100,5,LUMO,5,4,100/100,27.66,27.66,105.35,390,84_BeO,390
f,GW100,5,LUMO,5,5,100/100,18.28,18.28,31.65,1019,84_BeO,1019
f,GW100,5,LUMO,5,6,100/100,2.76,2.76,8,27,98_Ag2,27
f,GW100,5,LUMO,5,7,100/100,1.91,1.91,6.05,12,34_C2H3I,12
f,GW100,5,LUMO,5,8,100/100,2.23,2.23,10,31,85_MgO,-31
f,GW100,5,LUMO,5,9,100/100,2.06,2.06,9,17,84_BeO,17
f,GW100,5,LUMO,5,10,100/100,3.08,3.08,10.1,88,84_BeO,88
g,Si45H56,0.5,HOMO,2,2,1/1,728,728,728,728,Si45H56,728
g,Si45H56,0.5,HOMO,2,3,1/1,317,317,317,317,Si45H56,317
g,Si45H56,0.5,HOMO,2,4,1/1,563,563,563,563,Si45H56,563
g,Si45H56,0.5,HOMO,2,5,1/1,541,541,541,541,Si45H56,541
g,Si45H56,0.5,HOMO,2,6,1/1,157,157,157,157,Si45H56,157
g,Si45H56,0.5,HOMO,2,7,1/1,105,105,105,105,Si45H56,105
g,Si45H56,0.5,HOMO,2,8,1/1,62,62,62,62,Si45H56,62
g,Si45H56,0.5,HOMO,2,9,1/1,56,56,56,56,Si45H56,56
g,Si45H56,0.5,HOMO,2,10,1/1,50,50,50,50,Si45H56,50
g,Si45H56,0.5,HOMO,3,2,1/1,720,720,720,720,Si45H56,720
g,Si45H56,0.5,HOMO,3,3,1/1,312,312,312,312,Si45H56,312
g,Si45H56,0.5,HOMO,3,4,1/1,554,554,554,554,Si45H56,554
g,Si45H56,0.5,HOMO,3,5,1/1,533,533,533,533,Si45H56,533
g,Si45H56,0.5,HOMO,3,6,1/1,148,148,148,148,Si45H56,148
g,Si45H56,0.5,HOMO,3,7,1/1,96,96,96,96,Si45H56,96
g,Si45H56,0.5,HOMO,3,8,1/1,54,54,54,54,Si45H56,54
g,Si45H56,0.5,HOMO,3,9,1/1,49,49,49,49,Si45H56,49
g,Si45H56,0.5,HOMO,3,10,1/1,43,43,43,43,Si45H56,43
g,Si45H56,0.5,HOMO,4,2,1/1,719,719,719,719,Si45H56,719
g,Si45H56,0.5,HOMO,4,3,1/1,309,309,309,309,Si45H56,309
g,Si45H56,0.5,HOMO,4,4,1/1,551,551,551,551,Si45H56,551
g,Si45H56,0.5,HOMO,4,5,1/1,531,531,531,531,Si45H56,531
g,Si45H56,0.5,HOMO,4,6,1/1,144,144,144,144,Si45H56,144
g,Si45H56,0.5,HOMO,4,7,1/1,93,93,93,93,Si45H56,93
g,Si45H56,0.5,HOMO,4,8,1/1,51,51,51,51,Si45H56,51
g,Si45H56,0.5,HOMO,4,9,1/1,46,46,46,46,Si45H56,46
g,Si45H56,0.5,HOMO,4,10,1/1,42,42,42,42,Si45H56,42
g,Si45H56,0.5,HOMO,5,2,1/1,715,715,715,715,Si45H56,715
g,Si45H56,0.5,HOMO,5,3,1/1,308,308,308,308,Si45H56,308
g,Si45H56,0.5,HOMO,5,4,1/1,549,549,549,549,Si45H56,549
g,Si45H56,0.5,HOMO,5,5,1/1,530,530,530,530,Si45H56,530
g,Si45H56,0.5,HOMO,5,6,1/1,145,145,145,145,Si45H56,145
g,Si45H56,0.5,HOMO,5,7,1/1,93,93,93,93,Si45H56,93
g,Si45H56,0.5,HOMO,5,8,1/1,52,52,52,52,Si45H56,52
g,Si45H56,0.5,HOMO,5,9,1/1,44,44,44,44,Si45H56,44
g,Si45H56,0.5,HOMO,5,10,1/1,44,44,44,44,Si45H56,44
h,Si45H56,0.5,LUMO,2,2,1/1,611,611,611,611,Si45H56,-611
