system,orbital,series,method,neighbor_radius_angstrom,point,x_ri_ao_ratio,valid_calculations,error_raw_meV,error_plotted_meV
Si293H172,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-2,2.0,1,14.000000000000234,14.000000000000234
Si293H172,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-3,3.0,1,1.000000000000334,1.000000000000334
Si293H172,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-3,3.0,1,0.0,1.0
Si293H172,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-4,4.0,1,4.999999999999893,4.999999999999893
Si293H172,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-4,4.0,1,4.0000000000000036,4.0000000000000036
Si293H172,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-5,5.0,1,4.000000000000448,4.000000000000448
Si293H172,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-5,5.0,1,0.9999999999998899,1.0
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.9184052881636026,1,163.00000000000026,163.00000000000026
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.9184052881636026,1,111.00000000000021,111.00000000000021
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.32761826068994,1,123.00000000000023,123.00000000000023
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.32761826068994,1,68.00000000000006,68.00000000000006
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.8118157405494733,1,30.00000000000025,30.00000000000025
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.8118157405494733,1,0.9999999999998899,1.0
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.847345589754183,1,30.999999999999694,30.999999999999694
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.847345589754183,1,7.000000000000117,7.000000000000117
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.6197066721751705,1,11.999999999999567,11.999999999999567
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.6197066721751705,1,1.9999999999997797,1.9999999999997797
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.1144391654616816,1,1.9999999999997797,1.9999999999997797
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.1144391654616816,1,0.9999999999998899,1.0
